subject_id,best_channel,std_ch0,std_rank_ch0,sum_long_ch0,sum_long_rank_ch0,missing_fraction_ch0,missing_fraction_rank_ch0,rmssd_ch0,rmssd_rank_ch0,nn50_ch0,nn50_rank_ch0,pnn50_ch0,pnn50_rank_ch0,total_score_ch0,std_ch1,std_rank_ch1,sum_long_ch1,sum_long_rank_ch1,missing_fraction_ch1,missing_fraction_rank_ch1,rmssd_ch1,rmssd_rank_ch1,nn50_ch1,nn50_rank_ch1,pnn50_ch1,pnn50_rank_ch1,total_score_ch1,std_ch2,std_rank_ch2,sum_long_ch2,sum_long_rank_ch2,missing_fraction_ch2,missing_fraction_rank_ch2,rmssd_ch2,rmssd_rank_ch2,nn50_ch2,nn50_rank_ch2,pnn50_ch2,pnn50_rank_ch2,total_score_ch2,best_channel_IBIs,best_std,best_std_rank,best_sum_long,best_sum_long_rank,best_missing_fraction,best_missing_fraction_rank,best_rmssd,best_rmssd_rank,best_nn50,best_nn50_rank,best_pnn50,best_pnn50_rank,best_total_score
01,ch0,24.041429852288605,1.0,0.0,1.0,2.0,1.0,27.159986995891977,1.0,39.0,1.0,10.372340425531915,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"0      377
1      345
2      339
3      348
4      349
      ... 
372    323
373    357
374    324
375    331
376    301
Name: 0, Length: 377, dtype: int64",24.041429852288605,1,0,1,2,1,27.159986995891977,1,39,1,10.372340425531915,1,6
02,ch1,,,,,,,,,,,,,,1270.8026786579885,1.0,28.0,1.0,3.0,1.0,1682.305288806334,1.0,72.0,1.0,61.016949152542374,1.0,6.0,,,,,,,,,,,,,,"0      2804
1      5909
2       990
3       587
4       379
       ... 
114    3392
115     403
116     541
117     389
118    1016
Name: 0, Length: 119, dtype: int64",1270.8026786579885,1,28,1,3,1,1682.305288806334,1,72,1,61.016949152542374,1,6
03,ch1,15.770685751041906,1.0,0.0,1.0,52.0,3.0,18.74974949732462,3.0,14.0,3.0,2.80561122244489,3.0,14.0,37.4242395554717,3.0,0.0,2.0,43.0,2.0,48.85407258523352,1.0,22.0,1.0,4.489795918367347,1.0,10.0,34.65394244775451,2.0,0.0,3.0,40.0,1.0,45.65587968261586,2.0,22.0,2.0,4.471544715447155,2.0,12.0,"0      274
1      277
2      281
3      276
4      276
      ... 
486    273
487    283
488    282
489    290
490    293
Name: 0, Length: 491, dtype: int64",37.4242395554717,3,0,2,43,2,48.85407258523352,1,22,1,4.489795918367347,1,10
04,ch2,36.26321325436572,1.0,0.0,1.0,4.0,1.0,44.7366781329411,3.0,38.0,3.0,8.796296296296296,3.0,12.0,95.25533780881743,3.0,2.0,3.0,14.0,3.0,132.7708275058176,1.0,61.0,2.0,14.489311163895488,2.0,14.0,74.08914529095526,2.0,1.0,2.0,13.0,2.0,102.53021106250863,2.0,75.0,1.0,17.81472684085511,1.0,10.0,"0      323
1      338
2      370
3      377
4      388
      ... 
417    211
418    433
419    315
420    321
421    356
Name: 0, Length: 422, dtype: int64",74.08914529095526,2,1,2,13,2,102.53021106250863,2,75,1,17.81472684085511,1,10
06,ch2,36.20249574932097,1.0,0.0,1.0,5.0,1.0,37.84845432122023,3.0,26.0,3.0,7.142857142857142,3.0,12.0,78.14042169969359,2.0,1.0,2.0,19.0,3.0,110.01714685784087,2.0,59.0,2.0,16.164383561643834,2.0,13.0,90.2194169812996,3.0,1.0,3.0,13.0,2.0,123.69725663665717,1.0,75.0,1.0,21.1864406779661,1.0,11.0,"0      396
1      404
2      847
3      353
4      400
      ... 
350    436
351    440
352    432
353    840
354    396
Name: 0, Length: 355, dtype: int64",90.2194169812996,3,1,3,13,2,123.69725663665717,1,75,1,21.1864406779661,1,11
07,ch0,39.55377712879169,2.0,0.0,1.0,3.0,1.0,45.56667736284456,2.0,17.0,3.0,5.214723926380368,3.0,12.0,40.97428719524417,3.0,0.0,2.0,6.0,2.0,46.481655978543245,1.0,18.0,2.0,5.5045871559633035,2.0,12.0,38.88986956684525,1.0,0.0,3.0,6.0,3.0,44.86137183509694,3.0,23.0,1.0,7.01219512195122,1.0,12.0,"0      405
1      155
2      219
3      332
4      405
      ... 
322    405
323    420
324    428
325    439
326    396
Name: 0, Length: 327, dtype: int64",39.55377712879169,2,0,1,3,1,45.56667736284456,2,17,3,5.214723926380368,3,12
08,ch0,21.928693302100044,1.0,0.0,1.0,424.0,1.0,9.669364715196409,1.0,0.0,1.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"0      212
1      222
2      214
3      208
4      227
      ... 
439    188
440    192
441    197
442    229
443    223
Name: 0, Length: 444, dtype: int64",21.928693302100044,1,0,1,424,1,9.669364715196409,1,0,1,0.0,1,6
09,ch0,105.7902241456564,3.0,2.0,3.0,18.0,3.0,145.7108315740279,1.0,174.0,1.0,45.91029023746702,1.0,12.0,38.264499063737674,1.0,0.0,1.0,3.0,1.0,29.900138407077687,3.0,15.0,3.0,3.91644908616188,3.0,12.0,66.7484584837486,2.0,1.0,2.0,12.0,2.0,78.17796537921241,2.0,36.0,2.0,9.375,2.0,12.0,"0      401
1      447
2      154
3      242
4      454
      ... 
375    384
376    445
377    450
378    424
379    497
Name: 0, Length: 380, dtype: int64",105.7902241456564,3,2,3,18,3,145.7108315740279,1,174,1,45.91029023746702,1,12
10,ch0,31.155684827090788,1.0,0.0,1.0,0.0,1.0,34.091020035470095,3.0,53.0,1.0,12.470588235294118,1.0,8.0,112.38935805461621,3.0,3.0,3.0,1.0,2.0,157.31324416629215,1.0,32.0,2.0,7.901234567901234,2.0,13.0,69.68219492040222,2.0,2.0,2.0,1.0,3.0,88.89518669122344,2.0,26.0,3.0,6.265060240963856,3.0,15.0,"0      344
1      356
2      352
3      384
4      292
      ... 
421    329
422    336
423    359
424    377
425    352
Name: 0, Length: 426, dtype: int64",31.155684827090788,1,0,1,0,1,34.091020035470095,3,53,1,12.470588235294118,1,8
11,ch0,35.087118825873574,1.0,0.0,1.0,2.0,1.0,31.48341857488304,3.0,22.0,2.0,8.870967741935484,2.0,10.0,37.52322245100452,2.0,0.0,2.0,6.0,2.0,31.608100227631525,2.0,7.0,3.0,2.8000000000000003,3.0,14.0,87.65750090873419,3.0,1.0,3.0,12.0,3.0,121.02648094904309,1.0,59.0,1.0,24.380165289256198,1.0,12.0,"0      354
1      364
2      384
3      403
4      409
      ... 
244    395
245    415
246    389
247    400
248    379
Name: 0, Length: 249, dtype: int64",35.087118825873574,1,0,1,2,1,31.48341857488304,3,22,2,8.870967741935484,2,10
