subject_id,best_channel,median_best_channel,threshold,Peaks before start,Peaks between ibis,Peaks after end
01,ch_0,216.0,108.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
02,ch_1,223.0,111.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
03,ch_0,231.0,115.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
04,ch_2,204.0,102.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
06,ch_0,243.5,121.75,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
07,ch_2,208.0,104.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 23, 'peaks in worst': 0, 'peaks in both': 7}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
08,ch_2,358.0,179.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 1, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 1, 'peaks in both': 0}"
09,ch_2,208.0,104.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
10,ch_2,239.0,119.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
11,ch_2,256.0,128.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 6, 'peaks in worst': 11, 'peaks in both': 3}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
12,ch_1,223.0,111.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
14,ch_1,220.0,110.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 1, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
15,ch_2,230.0,115.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
16,ch_0,204.0,102.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 4, 'peaks in worst': 2, 'peaks in both': 1}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
17,ch_0,212.0,106.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 5, 'peaks in worst': 4, 'peaks in both': 1}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
19,ch_0,231.0,115.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 1}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
21,ch_1,253.0,126.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
22,ch_2,226.0,113.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
23,ch_1,239.0,119.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 1, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
25,ch_1,208.0,104.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 1, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
26,ch_0,226.0,113.0,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 3, 'peaks in worst': 5, 'peaks in both': 4}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
27,ch_1,227.0,113.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 1}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
28,ch_2,221.0,110.5,"{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 1, 'peaks in both': 0}","{'peaks in medium': 0, 'peaks in worst': 0, 'peaks in both': 0}"
