,ch2_best,ch0_medium,ch1_worst
0,290,289,291
1,502,499,503
2,718,717,718
3,930,929,930
4,1148,1146,1148
5,1363,1359,1364
6,1574,1573,1574
7,1783,1783,1783
8,1994,1994,1994
9,2212,2211,2212
10,2424,2626,2426
11,2832,2830,2635
12,3031,3029,2831
13,3231,3238,3032
14,3426,3422,3231
15,3622,3619,3427
16,3818,3814,3623
17,4014,4010,3818
18,4209,4205,4015
19,4403,4400,4210
20,4598,4595,4406
21,4805,4802,4598
22,5007,5203,4806
23,5207,6214,5007
24,6017,6410,5207
25,6216,6606,6216
26,6412,6800,6411
27,6610,6995,6611
28,6803,7190,6803
29,6998,7387,7389
30,7389,7584,7587
31,7586,7791,7793
32,7793,7991,7994
33,7993,8399,8402
34,8173,8602,8604
35,8400,8928,8809
36,8602,9222,9016
37,8809,9435,9226
38,9015,9643,9438
39,9224,9852,9648
40,9438,10056,9856
41,9647,10260,10060
42,9855,10465,10263
43,10059,10669,10468
44,10262,10883,10670
45,10467,11099,10885
46,10670,11309,11102
47,10884,11514,11311
48,11102,11719,11518
49,11310,11923,11723
50,11516,12126,11927
51,11721,12327,12331
52,11926,12526,12528
53,12130,12725,12727
54,12330,12923,12925
55,12527,13121,13123
56,12726,13320,13323
57,12924,13524,13498
58,13122,13725,13730
59,13323,13926,13928
60,13527,14127,14127
61,13729,14333,14334
62,13927,14539,14517
63,14127,14867,15375
64,14334,15063,15580
65,14541,15372,15782
66,14751,15576,15982
67,14962,15778,16370
68,15375,15977,16566
69,15579,16173,16760
70,15779,16368,16955
71,15980,16564,17153
72,16175,17575,17367
73,16370,17778,17567
74,16565,17979,17782
75,16759,18180,17980
76,16954,18379,18382
77,17151,18578,18581
78,17337,18777,18977
79,17780,18975,19175
80,17980,19174,19606
81,18183,19392,19813
82,18380,19605,20438
83,18581,19812,20642
84,18779,20023,20845
85,18976,20230,21048
86,19175,20566,21250
87,19396,21046,21448
88,19606,21246,21841
89,19813,21444,22038
90,20027,21643,22238
91,20234,21839,22446
92,20438,22037,22663
93,20642,22238,22879
94,20845,22444,23087
95,21048,22662,23300
96,21249,22877,23478
97,21447,23085,23714
98,21840,23295,23923
99,22037,23507,24145
100,22238,23715,24376
101,22446,23925,24611
102,22662,24146,24833
103,22878,24376,25058
104,23086,24609,25278
105,23298,24833,25498
106,23510,25058,25712
107,23715,25279,25929
108,23924,25498,26140
109,24145,25713,26351
110,24376,25930,26556
111,24609,26143,26762
112,24832,26351,26964
113,25058,26555,27162
114,25278,26725,27361
115,25498,27024,27557
116,25712,27357,27751
117,25930,27554,27943
118,26140,27747,28138
119,26351,27942,28326
120,26559,28135,28520
121,26761,28325,28715
122,26965,28519,29868
123,27163,28715,30074
124,27360,29485,30248
125,27557,29674,30411
126,27750,30074,30626
127,27943,30247,30813
128,28135,30415,30995
129,28326,30622,31180
130,28520,30808,31339
131,28717,30994,31710
132,28882,31178,32064
133,29074,31363,32288
134,29292,31547,32660
135,29678,31916,33039
136,29869,32103,33416
137,30060,32287,33996
138,30248,32472,34195
